Title,Interest,Type,Start Date,Start time,End Date,End time,Address,Post Code,web,Price Band,Contact,Description,"Booking
essential?",OS grid ref (essential),Grade,"wheelchair
accessable?",Min Age,max age,Child age restrictions,organisation,Full Price Notes (not compulsary),Additional information (about Venue or Event/Title),Short Description,Org ID
Walk on the Wildside,Nature,Outdoors,20/10/2013,12:00,20/10/2013,14:00,RSPB Crook of Baldoon ,DG8 9AF,www.wildautumnfestival.com,Under £5,Paul Tarling 01988 402130; paul.tarling@rspb.org.uk,Catch the tide with the Warden for an informative walk through the reserve.  Learn about the resident wildlife and our ongoing conservation work. Bring binoculars and walking boots.,y,NX442530,Medium,no,,,,RSPB,Up to £2,,Catch the tide with the Warden for an informative walk through the reserve.  Learn about the residen,8
Traps and Tracks,Nature,Outdoors,22/10/2013,10:30,22/10/2013,11:30,Dumfries Museum, DG2 7SW,www.wildautumnfestival.com,Free,Dumfries Museum 01387 253374,"There are loads of amazing animals living around Dumfries that we never see as it only comes out when we are not around. Find out how to track the signs that these creatures have been here. For ages 5 and up, all children must be accompanied by a responsible adult.",y,NX970757,Medium,no,,,,DGC,FREE,,There are loads of amazing animals living around Dumfries that we never see as it only comes out whe,3
Walk in the Wild,Nature,Outdoors,23/10/2013,10:00,23/10/2013,12:00,RSPB Mersehead ,DG2 8AH,www.wildautumnfestival.com,Under £5,Colin Bartholomew 01387 780579; mersehead@rspb.org.uk,Join a member of the team for a guided walk to experience the seasonal highlights on the reserve.,n,NX928566,Medium,no,,,,RSPB,Up to £2,,Join a member of the team for a guided walk to experience the seasonal highlights on the reserve.,8
Red Kites & Geese in Flight,Nature,Outdoors,24/10/2013,10:00,24/10/2013,12:30,RSPB Ken Dee Marshes ,DG7 2LY,www.wildautumnfestival.com,Free,Calum Murray 01556 670464; calum.murray@rspb.org.uk,"A walk to the bird hides to see this RSPB reserve in autumn colour, woodland and wetland wildlife and learn more about the conservation work being done in and around the reserve for these species. Please bring warm clothing, waterproofs and stout footwear. Distance: 3 miles.",y,NX699684,Medium,no,,,,RSPB,FREE,,"A walk to the bird hides to see this RSPB reserve in autumn colour, woodland and wetland wildlife an",8
Magical Mersehead,Nature,Outdoors,24/10/2013,18:00,24/10/2013,20:00,RSPB Mersehead ,DG2 8AH,www.wildautumnfestival.com,Under £5,Colin Bartholomew 01387 780579; mersehead@rspb.org.uk,Join our Field Teachers as they search the Sulwath Centre gardens looking for wildlife that comes out in the dark.  ,y,NX928566,Medium,no,,,,RSPB,Up to £2,,Join our Field Teachers as they search the Sulwath Centre gardens looking for wildlife that comes ou,8
Traps and Tracks,Nature,Outdoors,24/10/2013,11:00,24/10/2013,12:00,Annan Museum,DG12 6AA,www.wildautumnfestival.com,Free,Annan Museum 01461 201384,"There are loads of amazing animals living around Annan that we never see as it only comes out when we are not around. Find out how to track the signs that these creatures have been here. For ages 5 and up, all children must be accompanied by a responsible adult.",y,NY193665,Medium,no,,,,DGC,FREE,,There are loads of amazing animals living around Annan that we never see as it only comes out when w,3
Open Day at Red Kite Feeding Station ,Nature,Outdoors,26/10/2013,13:30,26/10/2013,16:00,Bellymack Hill Farm ,DG7 2PJ,www.wildautumnfestival.com,Free,Calum Murray 01556 670464; calum.murray@rspb.org.uk,FREE entry to the red kite feeding station at Laurieston. Join us for a celebration of the 10th anniversary of the feeding station and kite trail. The RSPB red kite team will be on hand to show you the kite 'Feeding Frenzy' and answer any questions. Optics provided.,n,NX689652,Medium,no,,,,RSPB,FREE,,FREE entry to the red kite feeding station at Laurieston. Join us for a celebration of the 10th anni,8
Walk in the Wild,Nature,Outdoors,30/10/2013,10:00,30/10/2013,12:00,RSPB Mersehead ,DG2 8AH,www.wildautumnfestival.com,Under £5,Colin Bartholomew 01387 780579; mersehead@rspb.org.uk,Join a member of the team for a guided walk to experience the seasonal highlights on the reserve.,n,NX928566,Medium,no,,,,RSPB,Up to £2,,Join a member of the team for a guided walk to experience the seasonal highlights on the reserve.,8
Walk on the Wildside,Nature,Outdoors,03/11/2013,10:00,03/11/2013,12:00,RSPB Crook of Baldoon ,DG8 9AF,,Under £5,Paul Tarling 01988 402130; paul.tarling@rspb.org.uk,Catch the tide with the Warden for an informative walk through the reserve.  Learn about the resident wildlife and our ongoing conservation work. Bring binoculars and walking boots.,y,NX442530,Medium,no,,,,RSPB,Up to £2,,Catch the tide with the Warden for an informative walk through the reserve.  Learn about the residen,8
Red Kite Feeding Station,Nature,Outdoors,12/10/2013,14:00,03/11/2013,15:00,Bellymack Hill Farm ,DG7 2PJ,www.wildautumnfestival.com,Under £5,RSPB Dumfries and Galloway Office on 01556 670464,"Red kites have been congregating at Bellymack Hill Farm since the first year that they were reintroduced to Galloway. The feeding station allows on lookers to get a close firsthand experience of these gregarious birds when they come in to feed. The farm also offers the opportunity to see other fantastic wildlife, with the occasional roe deer grazing among pasture or gorse (locally known as whin). The farm is home to a number of predators, including stoat, kestrel and sparrowhawk. ",n,NX689652,Medium,no,,,,NTS,£2.50,,Red kites have been congregating at Bellymack Hill Farm since the first year that they were reintrod,7
AUTUMN WILDFOWL WATCH,Nature,Outdoors,19/10/2013,14:00,19/10/2013,16:00,Threave Nature Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,"Family event where you can discover the wildlife of Threave Wetlands. See pintail, wigeon, teal, mallard, whooper swans and waders such as snipe and curlew.",y,NX745617,Medium,no,,,,NTS,£2,,"Family event where you can discover the wildlife of Threave Wetlands. See pintail, wigeon, teal, mal",7
GAZE AT GRAZING GEESE,Nature,Outdoors,24/10/2013,15:30,24/10/2013,17:30,Threave Nature Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,"A dusk ranger-led walk around looking at the spectacular geese flying in to roost on the marsh. See pink footed, white fronted and greylag geese in good numbers.",y,NX745617,Medium,no,,,,NTS,£2,,A dusk ranger-led walk around looking at the spectacular geese flying in to roost on the marsh. See ,7
GAZE AT GRAZING GEESE,Nature,Outdoors,02/11/2013,15:30,02/11/2013,17:30,Threave Nature Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,"A dusk ranger-led walk around looking at the spectacular geese flying in to roost on the marsh. See pink footed, white fronted and greylag geese in good numbers.",y,NX745617,Medium,no,,,,NTS,£2,,A dusk ranger-led walk around looking at the spectacular geese flying in to roost on the marsh. See ,7
WINTER TREE IDENTIFICATION,Nature,Outdoors,03/11/2013,14:00,03/11/2013,16:00,Threave Nature Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,Join our ranger-led walk to learn how to identify trees by their winter buds and foliage. Hear local folktales along the way too.,y,NX745617,Medium,no,,,,NTS,£2,,Join our ranger-led walk to learn how to identify trees by their winter buds and foliage. Hear local,7
THREAVE BAT HUNT,Nature,Outdoors,17/10/2013,,17/10/2013,,Threave Estate and Bat Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,Evening ranger-led bat hunt to explore the estate and learn about our nocturnal neighbours,y,NX745617,Medium,no,,,,NTS,£2,,Evening ranger-led bat hunt to explore the estate and learn about our nocturnal neighbours,7
THREAVE BAT HUNT,Nature,Outdoors,24/10/2013,,24/10/2013,,Threave Estate and Bat Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,Evening ranger-led bat hunt to explore the estate and learn about our nocturnal neighbours,y,NX745617,Medium,no,,,,NTS,£2,,Evening ranger-led bat hunt to explore the estate and learn about our nocturnal neighbours,7
THREAVE BATS HALLOWE’EN HIBERNATION HOOT,Nature,Outdoors,26/10/2013,,26/10/2013,,Threave Estate and Bat Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,"An evening of bat crafts, activities and games to celebrate the start of the Bat Hibernation season",y,NX745617,Medium,no,,,,NTS,£1,,"An evening of bat crafts, activities and games to celebrate the start of the Bat Hibernation season",7
THREAVE BATS AUTUMN ACTIVITIES,Nature,Outdoors,15/10/2013,,15/10/2013,,Threave Estate and Bat Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk,"Bat Crafts, Activities & Games for the mid term holidays",y,NX745617,Medium,no,,,,NTS,£1,,"Bat Crafts, Activities & Games for the mid term holidays",7
THREAVE BATS AUTUMN ACTIVITIES,Nature,Outdoors,22/10/2013,,22/10/2013,,Threave Estate and Bat Reserve,DG7 1RY,www.wildautumnfestival.com,Under £5,Tel: 0844 493 2245 / 0844 493 2244 or email threave@nts.org.uk ,"Bat Crafts, Activities & Games for the mid term holidays",y,NX745617,Medium,no,,,,NTS,£1,,"Bat Crafts, Activities & Games for the mid term holidays",7
Dawn Flight,Nature,Outdoors,13/10/2013,06:45,13/10/2013,09:00,Wildfowl and Wetlands Trust Caerlaverock Wetlands centre,DG1 4RS,www.wildautumnfestival.com,£5-£10,Tel  Brian Morell WWT on 01387 770200 or email info.caerlaverock@wwt.org.uk ,Join the wardens to watch the wild geese flighting in against the dawn sky. The coffee shop will open early to serve bacon rolls and coffee (not included in price).,y,NY052657,Medium,no,,,,WWT,£10,,Join the wardens to watch the wild geese flighting in against the dawn sky. The coffee shop will ope,9
Dusk Flight,Nature,Outdoors,27/10/2013,16:30,27/10/2013,18:30,Wildfowl and Wetlands Trust Caerlaverock Wetlands centre,DG1 4RS,www.wildautumnfestival.com,£5-£10,Tel  Brian Morell WWT on 01387 770200 or email info.caerlaverock@wwt.org.uk ,Watch the barnacle geese flight out to the Solway mudflats to their night-time roost. Bring warm waterproof clothing and a torch.,y,NY052657,Medium,no,,,,WWT,£10,,Watch the barnacle geese flight out to the Solway mudflats to their night-time roost. Bring warm wat,9
In Focus,Nature,Outdoors,03/10/2013,10:00,03/11/2013,17:00,Wildfowl and Wetlands Trust Caerlaverock Wetlands centre,DG1 4RS,www.wildautumnfestival.com,Free,Tel  Brian Morell WWT on 01387 770200 or email info.caerlaverock@wwt.org.uk ,Test before you buy the latest binoculars and telescopes from the huge range available today. WWT Caerlaverock benefits from every sale.,n,NY052657,Medium,no,,,,WWT,FREE,,Test before you buy the latest binoculars and telescopes from the huge range available today. WWT Ca,9
What's That Goose?,Nature,Outdoors,03/11/2013,13:00,03/11/2013,16:00,Wildfowl and Wetlands Trust Caerlaverock Wetlands centre,DG1 4RS,www.wildautumnfestival.com,£5-£10,Tel  Brian Morell WWT on 01387 770200 or email info.caerlaverock@wwt.org.uk ,Join WWT experts to find and identify the geese and other wildfowl wintering at this world renowned wetland reserve,y,NY052657,Medium,no,,,,WWT,£10,,Join WWT experts to find and identify the geese and other wildfowl wintering at this world renowned ,9
Night Mammal Explorer,Nature,Outdoors,15/10/2013,15:30,15/10/2013,16;30,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,Learn about night mammals and help to set the live traps for Hedgerow Safari,y,NX600520,Medium,no,,,,CoG,£5,,Learn about night mammals and help to set the live traps for Hedgerow Safari,2
Night Mammal Explorer,Nature,Outdoors,29/10/2013,15:30,29/10/2013,16:30,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,Learn about night mammals and help to set the live traps for Hedgerow Safari,y,NX600520,Medium,no,,,,CoG,£5,,Learn about night mammals and help to set the live traps for Hedgerow Safari,2
Hedgerow Safari,Nature,Outdoors,16/10/2013,11:00,16/10/2013,12:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,'Come along to Cream o'' Galloway to search for small mammals in the hedgerows. Learn more about the animals we find and they habitats they live in - you''ll be surprised at what we find!',y,NX600520,Medium,no,,,,CoG,£5,,'Come along to Cream o'' Galloway to search for small mammals in the hedgerows. Learn more about the,2
Bird boxes and autumn feeding,Nature,Outdoors,17/10/2013,11:00,17/10/2013,16:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,Free,Tel 01557 815 222 or email  info@creamogalloway.co.uk,'Join staff and volunteers from RSPB Mersehead for nest box building and making bird feeders at Cream o'' Galloway. Learn more about the birds you might see and find out more about what to feed the birds this autumn. ',n,NX600520,Medium,no,,,,CoG,FREE,,'Join staff and volunteers from RSPB Mersehead for nest box building and making bird feeders at Crea,2
Bird boxes and autumn feeding,Nature,Outdoors,31/10/2013,11:00,31/10/2013,16:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,Free,Tel 01557 815 222 or email  info@creamogalloway.co.uk,'Join staff and volunteers from RSPB Mersehead for nest box building and making bird feeders at Cream o'' Galloway. Learn more about the birds you might see and find out more about what to feed the birds this autumn. ',n,NX600520,Medium,no,,,,CoG,FREE,,'Join staff and volunteers from RSPB Mersehead for nest box building and making bird feeders at Crea,2
Fat Ball Feast,Nature,Outdoors,17/10/2013,11:00,17/10/2013,12:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,Make fat balls and learn about what to feed the birds this winter. Drop in anytime between 11am and 1pm,n,NX600520,Medium,no,,,,CoG,£5.00,,Make fat balls and learn about what to feed the birds this winter. Drop in anytime between 11am and ,2
Night Mammal Explorer,Nature,Outdoors,22/10/2013,15:30,22/10/2013,16:30,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,Learn about night mammals and help to set the live traps for Hedgerow Safari,y,NX600520,Medium,no,,,,CoG,£5.00,,Learn about night mammals and help to set the live traps for Hedgerow Safari,2
Hedgerow Safari,Nature,Outdoors,23/10/2013,11:00,23/10/2013,12:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,'Come along to Cream o'' Galloway to search for small mammals in the hedgerows. Learn more about the animals we find and they habitats they live in - you''ll be surprised at what we find!',y,NX600520,Medium,no,,,,CoG,£5.00,,'Come along to Cream o'' Galloway to search for small mammals in the hedgerows. Learn more about the,2
Hedgerow Safari,Nature,Outdoors,30/10/2013,11:00,31/10/2013,12:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,'Come along to Cream o'' Galloway to search for small mammals in the hedgerows. Learn more about the animals we find and they habitats they live in - you''ll be surprised at what we find!',y,NX600520,Medium,no,,,,CoG,£6.00,,'Come along to Cream o'' Galloway to search for small mammals in the hedgerows. Learn more about the,2
Wellies and Worms,Nature,Outdoors,24/10/2013,10:30,24/10/2013,11:30,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,Under £5,Tel 01557 815 222 or email  info@creamogalloway.co.uk,Autumn leaves. Fun outdoor activities inspired by wildlife and nature for pre-school children and their grown ups! Wellies & waterproofs essential!,n,NX600520,Medium,no,,,,CoG,£2.00,,Autumn leaves. Fun outdoor activities inspired by wildlife and nature for pre-school children and th,2
Fat Ball Feast,Nature,Outdoors,24/10/2013,11:00,24/10/2013,12:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,Make fat balls and learn about what to feed the birds this winter. Drop in anytime between 11am and midday,n,NX600520,Medium,no,,,,CoG,£5.00,,Make fat balls and learn about what to feed the birds this winter. Drop in anytime between 11am and ,2
Fat Ball Feast,Nature,Outdoors,31/10/2013,11:00,31/10/2013,12:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,£5-£10,Tel 01557 815 222 or email  info@creamogalloway.co.uk,Make fat balls and learn about what to feed the birds this winter. Drop in anytime between 11am and midday,n,NX600520,Medium,no,,,,CoG,£5.00,,Make fat balls and learn about what to feed the birds this winter. Drop in anytime between 11am and ,2
RSPB Bird Event,Nature,Outdoors,24/10/2013,11:00,24/10/2013,16:00,Cream o Galloway Visitor Centre ,DG7 2DR,www.wildautumnfestival.com,Free,Tel 01557 815 222 or email  info@creamogalloway.co.uk,'Join staff and volunteers from RSPB Mersehead for nest box building and making bird feeders at Cream o'' Galloway. Learn more about the birds you might see and find out more about what to feed the birds this autumn. ',n,NX600520,Medium,no,,,,CoG,FREE,,'Join staff and volunteers from RSPB Mersehead for nest box building and making bird feeders at Crea,2
Raider's Road Forest Drive,Nature,Outdoors,12/10/2013,10:00,03/11/2013,17:00,"Galloway Forest Park, along the A712 near Clatteringshaws",DG7 3SQ,www.wildautumnfestival.com,Under £5,"Telephone, 01644 420 285 or email galloway@forestry.gsi.gov.uk","Get off the beaten track and enjoy a scenic drive on untarred forest road.  Stop off at various points including the Otterpool car park and toilets.  Enjoy a picnic and paddle in this idylic spot!  10 mile, 2 way forest drive. This is a tolled road and costs GBP 2 to access. There is a pay machine located along the route.",n,NX552764,Medium,no,,,,FCS,£2/car,,Get off the beaten track and enjoy a scenic drive on untarred forest road.  Stop off at various poin,4
Fungi Foray at Caldons Woods,Nature,Outdoors,11/10/2013,13:30,11/10/2013,16:00,"Galloway Forest Park, Kirroughtree visitor centre",DG8 6SZ,www.wildautumnfestival.com,Free,"Telephone, 01671 401423 or email galloway@forestry.gsi.gov.uk",Join Cree Valley Community Woodland Trust to learn and identify some of the many fascinating species in this ancient oak wood,y,NX372786,Medium,no,,,,FCS,donation to Cree Valley Trust ,,Join Cree Valley Community Woodland Trust to learn and identify some of the many fascinating species,4
Spooky Walks,Nature,Outdoors,26/10/2013,18:30,26/10/2013,21:00,"Galloway Forest Park, Kirroughtree visitor centre",DG8 7BE,www.wildautumnfestival.com,Over £10,"Telephone, 01671 402420 or email galloway@forestry.gsi.gov.uk","Join us for our renowned Halloween event, Spooky walks 6.30pm-9pm. Storytelling, refreshments, lantern and fancy dress competitions, prizes up for grabs. Firework display at 8pm. Torches are essential, please bring one with you. Children under 16 must be accompanied by an adult.Sorry no dogs allowed.",n,NX452646,Medium,no,,,,FCS,TBC,,"Join us for our renowned Halloween event, Spooky walks 6.30pm-9pm. Storytelling, refreshments, lante",4
Spooky Lanterns,Nature,Outdoors,26/10/2013,12:00,26/10/2013,15:00,"Galloway Forest Park, Kirroughtree visitor centre",DG8 7BE,www.wildautumnfestival.com,Under £5,"Telephone, 01671 402420 or email galloway@forestry.gsi.gov.uk","All the family welcome to carve a spooky pumpkin, to take home with you. Bring it back to our evening Halloween event and enter it into the best carved pumpkin competition.",n,NX452646,Medium,no,,,,FCS,£3/pumpkin,,"All the family welcome to carve a spooky pumpkin, to take home with you. Bring it back to our evenin",4
Wilderness Canoe Trip,Nature,Outdoors,12/10/2013,11:30,03/11/2013,13:00,Galloway Activity centre,DG7 3NQ,www.lochken.co.uk,Over £10,Ring 01644 420626,Explore Loch Ken by Canoe,y,NX657735,Medium,no,,,,GAC,16.50 pp,,Explore Loch Ken by Canoe,5
Wilderness Canoe Trip,Nature,Outdoors,12/10/2013,14:00,03/11/2013,15:30,Galloway Activity centre,DG7 3NQ,www.lochken.co.uk,Over £10,Ring 01644 420626,Explore Loch Ken by Canoe,y,NX657735,Medium,no,,,,GAC,16.50 pp,,Explore Loch Ken by Canoe,5
Wilderness Mountain Biking,Nature,Outdoors,12/10/2013,11:00,03/11/2013,13:00,Galloway Activity centre,DG7 3NQ,www.lochken.co.uk,,Ring 01644 420626,Explore Galloway Forest Park by Bike,y,NX657735,Medium,no,,,,GAC,16.50pp,,Explore Galloway Forest Park by Bike,5
